BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Marvin Mims Jr.,DEN,WR,1,1,8,8,0,0,0,21,31.343,3.226,5,9.259,5,7.692,4.167,10.638,8.621,1,5
,Puka Nacua,LA,WR,1,2,8,4,0,0,0,40,57.143,6.897,11,20.755,11,15.942,7.143,20.755,15.942,2,11
,Sean Tucker,TB,RB,1,4,7,1.75,1,0,0,7,11.29,18.182,4,9.756,4,6.557,19.048,9.756,6.557,4,4
,Bhayshul Tuten,JAX,RB,1,1,7,7,0,0,0,13,20.635,3.704,2,4.255,2,3.39,5.263,4.762,3.704,1,2
,Kenny Pickett,LV,QB,1,2,7,3.5,0,0,0,43,100,15.385,2,7.143,2,4.762,0,0,0,2,2
,Jacoby Brissett,ARZ,QB,1,3,6,2,0,0,0,64,100,14.286,3,6.25,3,4.762,0,0,0,3,3
,Jeremy McNichols,WAS,RB,1,9,6,0.667,0,1,1,26,41.27,24.324,10,21.277,10,17.241,33.333,27.027,20.833,9,10
,Joe Burrow,CIN,QB,1,2,5,2.5,0,0,0,73,100,6.897,2,3.704,2,2.817,0,0,0,2,2
,Brian Thomas Jr.,JAX,WR,1,1,5,5,0,0,0,47,74.603,3.704,5,10.638,5,8.475,5.263,11.905,9.259,1,5
,DeMario Douglas,NE,WR,1,1,5,5,0,0,0,9,16.667,4,1,2.564,1,1.961,4.762,2.857,2.128,1,1
,John Metchie III,NYJ,WR,1,1,4,4,0,0,0,50,68.493,3.125,5,9.259,5,7.353,3.846,10.417,8.065,1,5
,Dyami Brown,JAX,WR,1,1,4,4,0,1,1,5,7.937,3.704,1,2.128,1,1.695,5.263,2.381,1.852,1,1
,Dylan Laube,LV,RB,1,2,4,2,0,0,0,2,4.651,15.385,2,7.143,2,4.762,18.182,7.692,5,2,2
