BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Luke  McCaffrey,WAS,WR,1,1,1,33,1,8,66.667,0,4,33.333,8.25,0,0,0,0,0,0,0,0,0
,Marvin  Harrison Jr.,ARZ,WR,1,2,2,32,0,8,72.727,4,3,27.273,0,0,0,0,0,0,0,0,0,0
,Rome  Odunze,CHI,WR,1,5,2,32,0,19,63.333,1.684,11,36.667,0,0,0,0,0,0,0,0,0,0
,Julian  Hill,MIA,TE,1,3,3,31,0,0,0,0,2,10.526,0,2,10.526,0,6,31.579,3.5,9,47.368,1.111
,Marvin  Mims Jr.,DEN,WR,1,3,2,30,0,9,69.231,0,2,15.385,2,2,15.385,13,0,0,0,0,0,0
,Ryan  Flournoy,DAL,WR,1,6,3,30,0,19,76,0.316,6,24,4,0,0,0,0,0,0,0,0,0
,Michael  Carter,ARZ,RB,1,5,2,30,0,2,10,0,1,5,0,16,80,1.875,0,0,0,1,5,0
,Jeremy  McNichols,WAS,RB,1,4,3,30,0,0,0,0,2,13.333,1,13,86.667,2.154,0,0,0,0,0,0
,Tetairoa  McMillan,CAR,WR,1,5,3,29,2,23,95.833,1.174,1,4.167,2,0,0,0,0,0,0,0,0,0
,Parker  Washington,JAX,WR,1,4,2,29,0,11,61.111,1.091,7,38.889,2.429,0,0,0,0,0,0,0,0,0
,Justice  Hill,BLT,RB,1,6,5,28,0,0,0,0,2,8,3,23,92,0.957,0,0,0,0,0,0
,Puka  Nacua,LA,WR,1,3,2,28,0,12,75,2.333,3,18.75,0,1,6.25,0,0,0,0,0,0,0
,Travis  Etienne,JAX,RB,1,5,4,28,0,0,0,0,0,0,0,28,100,1,0,0,0,0,0,0
,David  Njoku,CLV,TE,1,6,3,28,0,1,3.846,0,10,38.462,0.8,0,0,0,8,30.769,1.75,7,26.923,0.857
,Rashid  Shaheed,NO,WR,1,6,4,28,0,15,71.429,1.867,6,28.571,0,0,0,0,0,0,0,0,0,0
,Mack  Hollins,NE,WR,1,3,2,28,0,6,40,2,8,53.333,2,0,0,0,0,0,0,1,6.667,0
,Stefon  Diggs,NE,WR,1,3,3,28,0,11,57.895,2.545,8,42.105,0,0,0,0,0,0,0,0,0,0
,Theo  Johnson,NYG,TE,1,4,2,27,0,2,8,0,17,68,1.588,1,4,0,2,8,0,3,12,0
,Tre  Harris,LAC,WR,1,5,4,27,0,26,78.788,0.923,6,18.182,0,0,0,0,0,0,0,1,3.03,3
,Keenan  Allen,LAC,WR,1,7,4,27,0,17,58.621,1.059,11,37.931,0.818,1,3.448,0,0,0,0,0,0,0
,Elic  Ayomanor,TEN,WR,1,5,3,27,0,36,90,0.444,4,10,2.75,0,0,0,0,0,0,0,0,0
,Noah  Fant,CIN,TE,1,4,4,27,0,1,5,0,1,5,0,1,5,0,2,10,3.5,15,75,1.333
,Hunter  Henry,NE,TE,1,3,3,27,0,2,9.524,0,11,52.381,0.909,1,4.762,0,2,9.524,6,5,23.81,1
,Tyrell  Shavers,BUF,WR,1,5,3,27,0,16,76.19,1.188,4,19.048,0,1,4.762,8,0,0,0,0,0,0
,Tim  Patrick,JAX,WR,1,1,1,26,1,3,60,8.667,2,40,0,0,0,0,0,0,0,0,0,0
,Josh  Reynolds,NYJ,WR,1,3,3,25,0,19,79.167,1.316,5,20.833,0,0,0,0,0,0,0,0,0,0
,Noah  Gray,KC,TE,1,2,2,25,0,2,9.091,3,10,45.455,1.9,1,4.545,0,2,9.091,0,7,31.818,0
,Kyle  Monangai,CHI,RB,1,1,1,25,0,0,0,0,0,0,0,11,100,2.273,0,0,0,0,0,0
,Mark  Andrews,BLT,TE,1,6,4,24,0,2,6.897,0,27,93.103,0.889,0,0,0,0,0,0,0,0,0
,Emeka  Egbuka,TB,WR,1,4,2,24,0,12,66.667,0.583,6,33.333,2.833,0,0,0,0,0,0,0,0,0
,Olamide  Zaccheaus,CHI,WR,1,6,2,24,0,12,50,0,10,41.667,2.4,2,8.333,0,0,0,0,0,0,0
,Nate  Adkins,DEN,TE,1,2,2,23,1,1,10,0,3,30,7.667,0,0,0,0,0,0,6,60,0
,Jordan  Whittington,LA,WR,1,4,3,23,0,10,38.462,0,14,53.846,1.643,2,7.692,0,0,0,0,0,0,0
,Pat  Bryant,DEN,WR,1,2,2,22,0,7,38.889,1.571,11,61.111,1,0,0,0,0,0,0,0,0,0
,Alec  Ingold,MIA,FB,1,1,1,22,0,2,22.222,0,1,11.111,0,5,55.556,4.4,1,11.111,0,0,0,0
,De'Von  Achane,MIA,RB,1,6,4,22,0,3,9.375,0,9,28.125,0.667,20,62.5,0.8,0,0,0,0,0,0
,Malik  Washington,MIA,WR,1,5,4,22,0,8,47.059,0.875,7,41.176,2.143,2,11.765,0,0,0,0,0,0,0
,Gage  Larvadain,CLV,WR,1,4,2,22,0,10,83.333,0.8,2,16.667,7,0,0,0,0,0,0,0,0,0
,Marquez  Valdes-Scantling,SF,WR,1,3,2,22,0,7,22.581,2.714,24,77.419,0.125,0,0,0,0,0,0,0,0,0
,Keon  Coleman,BUF,WR,1,6,3,22,0,21,87.5,1.048,3,12.5,0,0,0,0,0,0,0,0,0,0
,RJ  Harvey,DEN,RB,1,4,4,21,0,0,0,0,4,36.364,0,7,63.636,3,0,0,0,0,0,0
,Mitchell  Evans,CAR,TE,1,1,1,21,0,0,0,0,0,0,0,0,0,0,5,45.455,4.2,6,54.545,0
,Rachaad  White,TB,RB,1,3,3,21,0,1,5.263,0,0,0,0,18,94.737,1.167,0,0,0,0,0,0
,Brandin  Cooks,NO,WR,1,1,1,21,0,14,77.778,1.5,4,22.222,0,0,0,0,0,0,0,0,0,0
,Brashard  Smith,KC,RB,1,4,3,21,0,0,0,0,4,80,5.25,1,20,0,0,0,0,0,0,0
,DeAndre  Hopkins,BLT,WR,1,4,2,20,0,13,81.25,1.538,3,18.75,0,0,0,0,0,0,0,0,0,0
,Michael  Pittman,IND,WR,1,3,2,20,0,15,62.5,0.4,9,37.5,1.556,0,0,0,0,0,0,0,0,0
,Bam  Knight,ARZ,RB,1,2,1,20,0,2,8.333,0,1,4.167,0,21,87.5,0.952,0,0,0,0,0,0
,Xavier  Worthy,KC,WR,1,4,2,20,1,13,54.167,0,11,45.833,1.818,0,0,0,0,0,0,0,0,0
,Troy  Franklin,DEN,WR,1,4,3,19,0,12,57.143,0.583,9,42.857,1.333,0,0,0,0,0,0,0,0,0
,Hunter  Long,JAX,TE,1,3,2,19,0,6,16.216,1.833,9,24.324,0.889,0,0,0,1,2.703,0,21,56.757,0
,Tyjae  Spears,TEN,RB,1,4,4,19,0,0,0,0,1,3.448,0,24,82.759,0.792,0,0,0,4,13.793,0
,Dawson  Knox,BUF,TE,1,2,1,19,1,3,11.538,0,15,57.692,1.267,2,7.692,0,2,7.692,0,4,15.385,0
,Ray  Davis,BUF,RB,1,2,2,19,1,0,0,0,0,0,0,2,100,9.5,0,0,0,0,0,0
,AJ  Dillon,PHI,RB,1,2,2,18,0,0,0,0,0,0,0,6,100,3,0,0,0,0,0,0
,Will  Dissly,LAC,TE,1,2,2,18,0,2,20,0,0,0,0,0,0,0,4,40,0,4,40,4.5
,Jonnu  Smith,PIT,TE,1,4,3,18,0,6,27.273,0,10,45.455,1.1,0,0,0,1,4.545,0,5,22.727,1.4
,Calvin  Ridley,TEN,WR,1,1,1,18,0,4,100,4.5,0,0,0,0,0,0,0,0,0,0,0,0
,Kyle  Pitts,ATL,TE,1,4,3,18,0,10,29.412,-0.2,11,32.353,0.909,0,0,0,2,5.882,5,11,32.353,0
,Jahan  Dotson,PHI,WR,1,2,1,17,0,18,58.065,0.944,13,41.935,0,0,0,0,0,0,0,0,0,0
