BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Jaxon  Smith-Njigba,SEA,WR,1,31,64.583,1,11,11,0,0,0,1,0,0,0,0.632,0.632,8.101,96.85,44,44
,Bryce  Young,CAR,QB,1,56,100,2,9,4.5,0,0,0,2,0,0,0,3.562,1.781,0,0,5.96,5.96
,Geno  Smith,LV,QB,1,62,100,5,9,1.8,0,0,0,2,0,0,0,-0.338,-0.068,-0.397,-13.99,52.52,52.52
,George  Holani,SEA,RB,1,3,6.25,3,9,3,0,0,0,0,0,0,0,-1.238,-0.413,-6.147,-73.34,1.8,1.8
,Greg  Dortch,ARZ,WR,1,15,22.727,1,9,9,0,0,0,0,1,0,0,0.852,0.852,8.587,955.77,1.8,1.8
,Ty  Johnson,BUF,RB,1,13,20,2,8,4,1,0,0,1,2,1,0,1.772,0.886,12.74,118.1,20,20
,Jimmy  Horn Jr.,CAR,WR,1,13,23.214,1,7,7,0,0,0,1,0,0,0,-0.246,-0.246,8.741,251.01,3.6,3.6
,Davis  Mills,HST,QB,1,49,65.333,2,7,3.5,0,0,0,0,1,1,0,-0.219,-0.11,-5.454,-72.87,12.36,12.36
,Xavier  Worthy,KC,WR,1,48,82.759,1,7,7,0,0,0,0,0,0,0,0.439,0.439,3.939,50.25,12,12
,Brashard  Smith,KC,RB,1,10,17.241,3,7,2.333,0,0,0,0,1,0,0,-0.892,-0.297,-4.178,-47.91,1.4,1.4
,Ollie  Gordon II,MIA,RB,1,12,19.048,2,6,3,0,0,0,0,0,0,0,-0.52,-0.26,-1.437,-29.64,3.8,3.8
,Tyler  Allgeier,ATL,RB,1,16,28.571,2,6,3,0,0,0,0,1,0,0,-0.63,-0.315,-0.637,-17.66,1.2,1.2
,Cam  Ward,TEN,QB,1,45,100,2,6,3,0,1,0,0,0,0,0,-1.249,-0.625,-14.754,-306.62,12.8,12.8
,Rashee  Rice,KC,WR,1,46,79.31,2,6,3,1,0,0,2,1,1,0,1.242,0.621,13.697,17.68,37.2,37.2
,Samaje  Perine,CIN,RB,1,1,1.538,1,5,5,0,0,0,0,0,0,0,0.078,0.078,0.904,17.56,1,1
,RJ  Harvey,DEN,RB,1,18,29.032,2,5,2.5,0,0,0,0,0,0,0,-0.925,-0.463,-5.694,-108.35,33.2,33.2
,Patrick  Mahomes,KC,QB,1,58,100,1,5,5,0,0,0,0,1,0,0,0.561,0.561,0,0,17,17
