BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Trayveon Williams,CLV,RB,1,4,4,38,0,4,4,38,20,29.412,15,45.455,12.121,0,0,0,7,10.938
,Christian Kirk,HST,WR,1,5,3,37,0,5,3,37,36,58.065,22,62.857,14.286,4,80,11.111,5,8.197
,Taysom Hill,NO,QB,1,6,4,36,0,6,4,36,34,42.5,19,35.849,11.321,1,16.667,1.818,18,23.077
,Evan Engram,DEN,TE,1,4,2,36,0,4,2,36,29,43.939,28,58.333,8.333,2,50,4.082,4,6.154
,Darnell Washington,PIT,TE,1,4,3,36,0,4,3,36,47,65.278,23,53.488,9.302,3,75,6.667,4,5.714
,Jayden Reed,GB,WR,1,3,3,35,0,3,3,35,45,60,21,80.769,11.538,1,33.333,3.226,4,5.714
,Deebo Samuel Sr.,WAS,WR,1,4,3,35,0,4,3,35,41,80.392,24,96,16,2,50,8,4,7.843
,Hunter Henry,NE,TE,1,7,6,35,1,7,6,35,53,71.622,38,79.167,14.583,2,28.571,3.922,7,9.859
,Dalton Schultz,HST,TE,1,5,5,35,1,5,5,35,40,64.516,29,82.857,14.286,3,60,8.333,5,8.197
,Mike Gesicki,CIN,TE,1,4,3,35,1,4,3,35,28,45.161,23,65.714,11.429,3,75,8.333,4,6.557
,Davis Allen,LA,TE,1,5,2,34,0,5,2,34,57,63.333,26,53.061,10.204,2,40,3.922,5,5.682
,Austin Hooper,NE,TE,1,4,2,34,0,4,2,34,20,27.027,14,29.167,8.333,3,75,5.882,4,5.634
,Harold Fannin Jr.,CLV,TE,1,6,4,34,1,6,4,34,54,79.412,29,87.879,18.182,3,50,8.108,7,10.938
,Khalil Shakir,BUF,WR,1,5,4,34,0,5,4,34,24,46.154,14,66.667,23.81,4,80,17.391,5,10
,Stone Smartt,NYJ,TE,1,5,5,34,0,5,5,34,20,31.25,19,44.186,11.628,4,80,9.091,5,7.937
,Terrance Ferguson,LA,TE,1,4,3,33,1,4,3,33,68,75.556,36,73.469,8.163,2,50,3.922,4,4.545
,Olamide Zaccheaus,CHI,WR,1,5,2,33,0,5,2,33,51,80.952,31,91.176,14.706,1,20,2.703,5,8.333
,Brock Bowers,LV,TE,1,5,5,33,1,5,5,33,52,98.113,26,100,19.231,5,100,19.231,5,9.434
,Jonathan Taylor,IND,RB,1,3,3,33,0,3,3,33,51,87.931,34,89.474,7.895,2,66.667,5.263,19,32.759
,Dallas Goedert,PHI,TE,1,3,3,32,1,3,3,32,57,80.282,30,93.75,9.375,2,66.667,5.405,3,4.545
,Malachi Corley,CLV,WR,1,4,2,32,0,4,2,32,28,41.176,14,42.424,12.121,0,0,0,7,10.938
,Theo Wease Jr.,MIA,WR,1,4,2,32,0,4,2,32,20,33.898,14,46.667,13.333,4,100,12.903,4,6.897
,Michael Pittman,IND,WR,1,5,4,32,0,5,4,32,54,93.103,36,94.737,13.158,3,60,7.895,5,8.621
,Mike Evans,TB,WR,1,9,5,31,1,9,5,31,39,61.905,22,78.571,32.143,8,88.889,26.667,9,14.754
