week,year,parlay_id,leg_number,parlay_type,was_bet_on,player_name,position,team,opponent,home_away,prop_type,line,prediction,leg_confidence,parlay_raw_confidence,correlation_adjustment,parlay_adjusted_confidence,dvoa_score,matchup_score,volume_score,injury_score,trend_score,gamescript_score,variance_score,weather_score,bet_result
12,2024,parlay_1763603312342,1,generated,False,khalil shakir,Unknown,BUF,Unknown,AWAY,Receptions,4.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312342,2,generated,False,trevor lawrence,Unknown,JAC,Unknown,AWAY,Pass Yds,213.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312379,1,generated,False,brock purdy,Unknown,SF,Unknown,AWAY,Pass Yds,249.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312379,2,generated,False,drake maye,Unknown,NE,Unknown,AWAY,Pass Completions,20.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312393,1,generated,False,hunter henry,Unknown,NE,Unknown,AWAY,Rec Yds,40.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312393,2,generated,False,alvin kamara,Unknown,NO,Unknown,AWAY,Rush Attempts,15.5,UNDER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312406,1,generated,False,josh allen,Unknown,BUF,Unknown,AWAY,Pass Completions,19.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312406,2,generated,False,christian mccaffrey,Unknown,SF,Unknown,AWAY,Rec Yds,42.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312419,1,generated,False,tetairoa mcmillan,Unknown,CAR,Unknown,AWAY,Rec Yds,59.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312419,2,generated,False,jared goff,Unknown,DET,Unknown,AWAY,Pass Yds,258.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312419,3,generated,False,brian thomas jr,Unknown,JAC,Unknown,AWAY,Receptions,4.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312432,1,generated,False,matthew golden,Unknown,GB,Unknown,AWAY,Receptions,2.5,UNDER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312432,2,generated,False,tyrell shavers,Unknown,BUF,Unknown,AWAY,Receptions,1.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312432,3,generated,False,sam darnold,Unknown,SEA,Unknown,AWAY,Pass Completions,19.5,OVER,63.0,63.0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312445,1,generated,False,travis etienne jr,Unknown,JAC,Unknown,AWAY,Rec Yds,13.5,OVER,62.0,62.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312445,2,generated,False,bryce young,Unknown,CAR,Unknown,AWAY,Pass Yds,200.5,OVER,62.0,62.0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
